294	58 | 35 | 69/2 | 1/2
295	58 | 35 | 71/2 | 1/2
296	58 | 36 | 71/2 | 1/2
297	58 | 36 | 73/2 | 1/2
298	58 | 37 | 73/2 | 1/2
299	58 | 37 | 75/2 | 1/2
300	58 | 38 | 75/2 | 1/2
301	58 | 38 | 77/2 | 1/2
302	58 | 39 | 77/2 | 1/2
303	58 | 39 | 79/2 | 1/2
304	58 | 40 | 79/2 | 1/2
305	58 | 40 | 81/2 | 1/2
306	58 | 41 | 81/2 | 1/2
307	58 | 41 | 83/2 | 1/2
308	58 | 42 | 83/2 | 1/2
309	58 | 42 | 85/2 | 1/2
310	58 | 43 | 85/2 | 1/2
311	58 | 43 | 87/2 | 1/2
312	58 | 44 | 87/2 | 1/2
313	58 | 44 | 89/2 | 1/2
314	58 | 45 | 89/2 | 1/2
315	58 | 45 | 91/2 | 1/2
316	58 | 46 | 91/2 | 1/2
317	58 | 46 | 93/2 | 1/2
318	58 | 47 | 93/2 | 1/2
319	58 | 47 | 95/2 | 1/2
320	58 | 48 | 95/2 | 1/2
321	58 | 48 | 97/2 | 1/2
322	58 | 49 | 97/2 | 1/2
323	58 | 49 | 99/2 | 1/2
324	58 | 50 | 99/2 | 1/2
325	58 | 50 | 101/2 | 1/2
326	58 | 51 | 101/2 | 1/2
327	58 | 51 | 103/2 | 1/2
328	58 | 52 | 103/2 | 1/2
329	58 | 52 | 105/2 | 1/2
330	58 | 53 | 105/2 | 1/2
331	58 | 53 | 107/2 | 1/2
332	58 | 54 | 107/2 | 1/2
333	58 | 54 | 109/2 | 1/2
334	58 | 55 | 109/2 | 1/2
335	58 | 55 | 111/2 | 1/2
336	58 | 56 | 111/2 | 1/2
337	58 | 56 | 113/2 | 1/2
338	58 | 57 | 113/2 | 1/2
339	58 | 57 | 115/2 | 1/2
340	61 | 1 | 1/2 | 1/2
341	61 | 1 | 3/2 | 1/2
